2023-03-26 11:52:23,152 INFO    MainThread:1894908 [wandb_setup.py:_flush():76] Configure stats pid to 1894908
2023-03-26 11:52:23,153 INFO    MainThread:1894908 [wandb_setup.py:_flush():76] Loading settings from /home/avashchilko/.config/wandb/settings
2023-03-26 11:52:23,153 INFO    MainThread:1894908 [wandb_setup.py:_flush():76] Loading settings from /home/avashchilko/abbyy10sem/course_ocr/task1/wandb/settings
2023-03-26 11:52:23,153 INFO    MainThread:1894908 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-03-26 11:52:23,153 INFO    MainThread:1894908 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-03-26 11:52:23,153 INFO    MainThread:1894908 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2023-03-26 11:52:23,153 INFO    MainThread:1894908 [wandb_init.py:_log_setup():506] Logging user logs to /home/avashchilko/abbyy10sem/course_ocr/task1/wandb/run-20230326_115223-czd5epev/logs/debug.log
2023-03-26 11:52:23,153 INFO    MainThread:1894908 [wandb_init.py:_log_setup():507] Logging internal logs to /home/avashchilko/abbyy10sem/course_ocr/task1/wandb/run-20230326_115223-czd5epev/logs/debug-internal.log
2023-03-26 11:52:23,153 INFO    MainThread:1894908 [wandb_init.py:_jupyter_setup():452] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x7efe2c190880>
2023-03-26 11:52:23,153 INFO    MainThread:1894908 [wandb_init.py:init():546] calling init triggers
2023-03-26 11:52:23,153 INFO    MainThread:1894908 [wandb_init.py:init():552] wandb.init called with sweep_config: {}
config: {'train_dataloader_config': {'batch_size': 8, 'shuffle': True}, 'test_dataloader_config': {'batch_size': 8, 'shuffle': False}, 'training_config': {'lr': 0.001, 'epochs': 100, 'step_size': 15, 'gamma': 0.1}, 'architecture': 'CenterNet', 'dataset': 'MIDV-500', 'criterion': 'MSELoss', 'optimizer': 'Adam', 'image_size': [416, 416], 'heatmap_size': [104, 104]}
2023-03-26 11:52:23,154 INFO    MainThread:1894908 [wandb_init.py:init():602] starting backend
2023-03-26 11:52:23,154 INFO    MainThread:1894908 [wandb_init.py:init():606] setting up manager
2023-03-26 11:52:23,155 INFO    MainThread:1894908 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-03-26 11:52:23,157 INFO    MainThread:1894908 [wandb_init.py:init():613] backend started and connected
2023-03-26 11:52:23,160 INFO    MainThread:1894908 [wandb_run.py:_label_probe_notebook():1204] probe notebook
2023-03-26 11:52:23,161 INFO    MainThread:1894908 [wandb_run.py:_label_probe_notebook():1214] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2023-03-26 11:52:23,161 INFO    MainThread:1894908 [wandb_init.py:init():701] updated telemetry
2023-03-26 11:52:23,206 INFO    MainThread:1894908 [wandb_init.py:init():741] communicating run to backend with 60.0 second timeout
2023-03-26 11:52:23,768 INFO    MainThread:1894908 [wandb_run.py:_on_init():2133] communicating current version
2023-03-26 11:52:24,045 INFO    MainThread:1894908 [wandb_run.py:_on_init():2142] got version response 
2023-03-26 11:52:24,046 INFO    MainThread:1894908 [wandb_init.py:init():789] starting run threads in backend
2023-03-26 11:52:24,184 INFO    MainThread:1894908 [wandb_run.py:_console_start():2114] atexit reg
2023-03-26 11:52:24,184 INFO    MainThread:1894908 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2023-03-26 11:52:24,185 INFO    MainThread:1894908 [wandb_run.py:_redirect():2034] Wrapping output streams.
2023-03-26 11:52:24,185 INFO    MainThread:1894908 [wandb_run.py:_redirect():2059] Redirects installed.
2023-03-26 11:52:24,185 INFO    MainThread:1894908 [wandb_init.py:init():831] run started, returning control to user process
2023-03-26 11:52:24,191 INFO    MainThread:1894908 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-03-26 11:52:24,191 INFO    MainThread:1894908 [wandb_init.py:_pause_backend():417] pausing backend
2023-03-26 11:52:24,196 INFO    MainThread:1894908 [wandb_init.py:_resume_backend():422] resuming backend
2023-03-26 14:12:49,362 INFO    MainThread:1894908 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-03-26 14:12:49,362 INFO    MainThread:1894908 [wandb_init.py:_pause_backend():417] pausing backend
